,name,old_price,price,dollars
0, Laptop Gamer Fortnite Pubg Mobile Hp 245 G7 Amd Ryzen 3 2300u 8gb 1tb Radeon Vega 3 ,8999.0,7999.0,159980.0
1, Laptop Hp 240 Intel Dual Core 4gb 500gb 14 Wifi 2tb Nube ,5599.0,4999.0,99980.0
2, Laptop Hp Intel Ultima Generacion 8gb Delgada Ligera Regalos ,,7480.0,149600.0
3, Laptop Lenovo Amd A6 4gb Ram 64 Emmc Nueva Win 10 Garantia ,4899.0,4199.0,83980.0
4, Laptop Lenovo 15.6 Core I7 1tb + 16gb Optane 8gb Ram Win 10 ,,14999.0,299980.0
5, Laptop Samsung Chromebook 3 11.6 16gb Ssd 4gb Ram 500c13-s04 ,,3899.0,77980.0
6, Laptop Acer Spin 3 Core I3 4gb Ssd 128gb 14 Touch Tablet Usb ,7999.0,7139.0,142780.0
7, Laptop Compax S4000 W10h Celeron N3060 4gb 500gb Nueva+msi ,,3499.0,69980.0
8, Laptop Dell Inspiron 3567 I5 Ram 8gb Hd 1 Tb 15'' 7200u ,,9999.0,199980.0
9, Laptop Hp 14 Pulgadas 240 G7 2019 Intel Celeron N4000 500 Gb 4gb Ram Win 10 + 2tb Nube Elife Briefcase ,,5899.0,117980.0
10, Laptop Intel Dual Core 4gb Ram 500gb W10 Vorago Alpha Hdmi ,6856.0,4699.0,93980.0
11, Laptop Gamer Core I5 Lenovo 6gb 2tb Radeon R530 2gb Ideapad ,14999.0,11989.0,239780.0
12, Laptop Gamer Geforce Gtx 1050ti Asus Tuf Core I5 8gb 1tb Ssd ,,20989.0,419780.0
13, Laptop Gamer Acer Amd A9 9420e 4gb Ssd 128gb 14 Radeon R5 ,7899.0,6299.0,125980.0
14, Laptop Lenovo Ideapad Intel Core I7 8gb 1tb 14 Wifi Platino ,,15499.0,309980.0
15, Laptop Hp Intel 8gb Ram Disco 500gb Notebook Ultima Generaci ,,7080.0,141600.0
16, Laptop Dell 3480 Core I5 8265u 3.9ghz 8gb 1tb + Office ,,12999.0,259980.0
17, Laptop Gamer Lenovo Ideapad Amd A4 4gb 500gb 14 Radeon 2gb ,7299.0,5499.0,109980.0
18, Laptop Dell Inspiron 5480 I7 8gb 1tb 14'' Nvidiamx250 Ssd128 ,,15999.0,319980.0
19," Computadora Para Niños Y Escuelas De Uso Rudo, Nueva!! ",,3900.0,78000.0
20, Laptop Dell Inspiron Intel Core I5 8265u 8gb 1tb Wifi Nuevo ,16300.0,11999.0,239980.0
21, Laptop 240 Hp Intel Celeron N4000 8gb 500gb 14 Windows 10 ,6699.0,5989.0,119780.0
22, Laptop Hp Ryzen 3 3.4ghz 8gb Ddr4 1tb Dd W10 14-cm0008la ,,9999.0,199980.0
23, Laptop Hp Pentium Gold 8 Gb Ram 1tb 15.6 15-da0077la Nueva ,,8899.0,177980.0
24, Laptop Hp 240 G5 14 Intel Celeron 500gb Ram 4gb + Kit ,6299.0,4699.0,93980.0
25, Laptop Dell Chromebook 3120 Intel Celeron 2.1ghz Grado A/b ,,2700.0,54000.0
26, Laptop Hp 8gb Wifi Delgada Ligera Ultima Generación Notebook Desc Especial ,,7480.0,149600.0
27, Laptop Gamer Lenovo Legion Y530 I5 8gb 1tb Geforce Gtx 1050 ,20899.0,18999.0,379980.0
28, Laptop Hp Intel Core I5 1035g1 8gb Ssd 256gb 16gb Optane 14 ,17999.0,11499.0,229980.0
29, Laptop Compax S4000 W10pro Celeronn3060 4gb 500gb Dvd+office ,,3599.0,71980.0
